GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11
8600000US49666,49666,ZCTA5 49666,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**
8600000US49764,49764,ZCTA5 49764,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**
8600000US49819,49819,ZCTA5 49819,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**
8600000US49833,49833,ZCTA5 49833,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**
8600000US49877,49877,ZCTA5 49877,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**
8600000US50011,50011,ZCTA5 50011,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**
8600000US50012,50012,ZCTA5 50012,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**,$-,$**
8600000US50041,50041,ZCTA5 50041,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**
8600000US50101,50101,ZCTA5 50101,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,$-,$**
8600000US50127,50127,ZCTA5 50127,,,$-,$**,$-,$**,,,,,$-,$**,$-,$**,,,,,$-,$**,$-,$**,,,,,$-,$**,$-,$**,,,,,$-,$**,$-,$**,,,,,$-,$**,$-,$**,,,,,$-,$**,$-,$**,,,,,$-,$**,$-,$**,,,,,$-,$**,$-,$**,,,,,$-,$**,$-,$**,,
