GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02
8600000US53820,53820,ZCTA5 53820,1088,63,51750,2147
8600000US53821,53821,ZCTA5 53821,3310,212,39801,3623
8600000US53825,53825,ZCTA5 53825,184,28,55357,8639
8600000US53826,53826,ZCTA5 53826,578,52,43333,9378
8600000US53827,53827,ZCTA5 53827,121,27,32422,8382
8600000US53901,53901,ZCTA5 53901,5989,219,47681,2536
8600000US53910,53910,ZCTA5 53910,1561,132,32346,3261
8600000US53911,53911,ZCTA5 53911,517,45,73125,6563
8600000US53913,53913,ZCTA5 53913,8328,310,49393,3713
8600000US53916,53916,ZCTA5 53916,9240,275,51192,1717
8600000US53919,53919,ZCTA5 53919,1002,43,60223,3780
8600000US53920,53920,ZCTA5 53920,190,36,50357,8431
8600000US53922,53922,ZCTA5 53922,412,41,63375,7525
8600000US53923,53923,ZCTA5 53923,769,53,53702,5412
8600000US53924,53924,ZCTA5 53924,523,48,42539,3212
8600000US53925,53925,ZCTA5 53925,3177,157,59583,3969
8600000US53926,53926,ZCTA5 53926,467,50,46875,6509
8600000US53928,53928,ZCTA5 53928,64,25,60833,11037
8600000US53929,53929,ZCTA5 53929,1066,67,44595,3780
8600000US53930,53930,ZCTA5 53930,496,51,56477,4821
8600000US53931,53931,ZCTA5 53931,96,27,53889,11721
8600000US53932,53932,ZCTA5 53932,919,61,66411,3127
8600000US53933,53933,ZCTA5 53933,1174,69,52500,4622
8600000US53934,53934,ZCTA5 53934,2080,128,40147,3221
8600000US53935,53935,ZCTA5 53935,122,29,47500,11908
8600000US53936,53936,ZCTA5 53936,696,78,39615,3948
8600000US53937,53937,ZCTA5 53937,388,42,61111,6364
8600000US53939,53939,ZCTA5 53939,127,30,56250,27922
8600000US53941,53941,ZCTA5 53941,1122,79,52232,3703
8600000US53943,53943,ZCTA5 53943,373,44,52292,4833
8600000US53944,53944,ZCTA5 53944,895,83,47344,4737
8600000US53946,53946,ZCTA5 53946,1789,88,53070,2832
8600000US53947,53947,ZCTA5 53947,41,19,42188,12479
8600000US53948,53948,ZCTA5 53948,3392,178,47031,4352
8600000US53949,53949,ZCTA5 53949,2705,106,43606,2471
8600000US53950,53950,ZCTA5 53950,2417,145,43279,3964
8600000US53951,53951,ZCTA5 53951,1011,99,47250,5613
8600000US53952,53952,ZCTA5 53952,1481,95,43569,2672
8600000US53953,53953,ZCTA5 53953,148,54,43158,23240
8600000US53954,53954,ZCTA5 53954,2852,118,57390,4069
8600000US53955,53955,ZCTA5 53955,2256,123,61101,3045
8600000US53956,53956,ZCTA5 53956,1246,75,54115,3280
8600000US53959,53959,ZCTA5 53959,5295,204,50504,3534
8600000US53960,53960,ZCTA5 53960,1400,89,58672,5100
8600000US53961,53961,ZCTA5 53961,317,49,51875,7635
8600000US53963,53963,ZCTA5 53963,4712,239,46321,5100
8600000US53964,53964,ZCTA5 53964,1520,85,44394,4075
8600000US53965,53965,ZCTA5 53965,4335,185,47515,3751
8600000US53968,53968,ZCTA5 53968,981,64,46463,3147
8600000US53969,53969,ZCTA5 53969,171,42,56250,19380
8600000US54001,54001,ZCTA5 54001,3420,154,50816,3768
8600000US54002,54002,ZCTA5 54002,2432,129,62946,3198
8600000US54003,54003,ZCTA5 54003,402,52,75357,14433
8600000US54004,54004,ZCTA5 54004,894,63,44146,4537
8600000US54005,54005,ZCTA5 54005,1206,62,54583,3498
8600000US54006,54006,ZCTA5 54006,327,49,56696,8360
8600000US54007,54007,ZCTA5 54007,474,50,64318,12553
8600000US54009,54009,ZCTA5 54009,946,93,58190,5152
8600000US54010,54010,ZCTA5 54010,0,69,,
8600000US54011,54011,ZCTA5 54011,2470,117,64215,3732
8600000US54013,54013,ZCTA5 54013,1262,78,58603,5656
8600000US54014,54014,ZCTA5 54014,941,70,66420,8017
8600000US54015,54015,ZCTA5 54015,1250,86,70924,4475
8600000US54016,54016,ZCTA5 54016,11398,284,81991,4170
8600000US54017,54017,ZCTA5 54017,6229,273,60914,3607
8600000US54020,54020,ZCTA5 54020,2908,139,57308,6647
8600000US54021,54021,ZCTA5 54021,2540,118,77271,3283
8600000US54022,54022,ZCTA5 54022,7873,332,61414,5176
8600000US54023,54023,ZCTA5 54023,1416,90,74688,6853
8600000US54024,54024,ZCTA5 54024,1965,123,53750,5977
8600000US54025,54025,ZCTA5 54025,2601,189,62026,6442
8600000US54026,54026,ZCTA5 54026,784,75,55385,4823
8600000US54027,54027,ZCTA5 54027,411,47,60859,6198
