fips,gini_cnty,income_cnty,black_cnty,pop_cnty,perc_bush04
1079,0.397,4.1472,0.122426233354842,3.4094,0.554973070017953
1081,0.49,3.8588,0.232013714040821,13.0669,0.630173172879366
1083,0.434,4.4997,0.131378584156812,7.4076,0.679084733643189
1085,0.498,3.027,0.706380620645979,1.2632,0.296727031068284
1087,0.475,2.6305,0.823529411764706,2.2304,0.17014694508894
1089,0.448,5.4979,0.235340570042064,31.4047,0.592040640923323
1091,0.494,3.0819,0.528477133427628,2.121,0.509723842862699
1093,0.441,3.2224,0.0371579126296107,2.9415,0.699066147859922
1095,0.46,3.7396,0.015570088143304,8.7925,0.725749840459477
1097,0.471,4.0476,0.342199338318559,40.5331,0.588246216098548
1099,0.482,2.981,0.400789820096534,2.279,0.6125
1101,0.486,4.3015,0.528049775147191,22.4369,0.493003277441582
1103,0.44,4.2913,0.116114134916708,11.5197,0.694019471488178
1105,0.445,2.627,0.689493872205071,1.0689,0.315435020021842
1107,0.463,2.715,0.424979516591561,1.9528,0.567570534636074
1109,0.518,2.8065,0.369458455003982,3.0136,0.631165540540541
1111,0.47,3.5137,0.217472449342339,2.2504,0.682369974384675
1113,0.437,3.2064,0.407783485578365,5.0029,0.497284392718591
1115,0.412,4.8425,0.0880324805052523,7.7585,0.808906659313388
1117,0.428,6.7534,0.097668801503858,18.2996,0.807369159176388
1119,0.523,2.0994,0.708675661415542,1.3267,0.292971793673056
1121,0.454,3.5865,0.316785135303654,8.019,0.615214180206795
1123,0.504,3.6637,0.25636372553828,4.0778,0.692281879194631
1125,0.504,3.9579,0.307892410799199,17.8754,0.616127175945907
1127,0.444,3.6708,0.063472706155633,6.888,0.677533413478538
1129,0.447,3.4738,0.259528236114339,1.7212,0.615103086495059
1131,0.513,2.2006,0.725940089228808,1.2552,0.353128103277061
1133,0.462,2.9818,0.00165357585779248,2.419,0.78061076102763
2013,0.357,5.625,0.10070969922271,0.2959,NA
2016,0.336,7.2989,0.102633969118983,0.5505,NA
2020,0.416,7.0151,0.058957377072567,28.0389,NA
2050,0.416,5.312,0.00186578042096671,1.7151,NA
2060,0.349,6.25,0,0.0682,NA
2068,0.325,7.625,0.0222367560497057,0.1529,NA
2070,0.407,6.0466,0.00222401940962394,0.4946,NA
2090,0.402,6.5121,0.0570201253575375,9.6843,NA
2100,0.448,4.4284,0.00412541254125413,0.2424,NA
2105,0.383,4.3208,0,0.2042,NA
2110,0.394,7.6437,0.00656334275595412,3.0777,NA
2122,0.416,5.5966,0.0059375706853653,5.3052,NA
2130,0.392,5.75,0.00258909533962839,1.3132,NA
2150,0.391,5.9655,0.00760629801475622,1.3147,NA
2164,0.449,4.1458,0.00643316654753395,0.1399,NA
2170,0.383,6.6052,0.0103898951266154,8.2099,NA
2180,0.424,5.5766,0.0214155691187493,0.9339,NA
2185,0.409,6.6556,0.0108695652173913,0.6716,NA
2188,0.393,5.7885,0.00107671601615074,0.743,NA
2195,0.353,6.1115,0,0.3862,NA
2198,0.403,4.5889,0,0.5572,NA
2220,0.402,5.8895,0.0106684825785949,0.8811,NA
2230,0.334,7.1295,0.0186741363211951,0.1071,NA
2240,0.363,5.9407,0.0266272189349112,0.676,NA
2261,0.39,5.5952,0.00419771224682548,0.9529,NA
2270,0.407,3.6712,0,0.7577,NA
2275,0.453,4.9508,0.0138376383763838,0.2168,NA
2282,0.393,6.625,0,0.0418,NA
2290,0.455,3.3716,0,0.5813,NA
4001,0.496,2.8378,0.0028121890367892,6.9341,0.348509719222462
4003,0.445,4.3304,0.0420960246996779,12.7613,0.604867590810534
4005,0.445,4.8259,0.0117585145155209,12.7312,0.437473478740558
4007,0.436,3.693,0.00229508196721311,5.185,0.596216124083859
4009,0.404,4.0889,0.0237492811960897,3.478,0.699224360815857
4011,0.397,4.5476,0.00492036773274634,0.7723,0.623645320197044
4012,0.454,3.164,0.0104712041884817,2.0055,0.630716996205313
4013,0.449,5.5223,0.0433822043765291,385.5521,0.572003840374373
4015,0.434,4.0157,0.00783986569113105,19.2988,0.645405994550409
4017,0.433,3.8197,0.011035868837024,11.0458,0.536647338588833
4019,0.452,4.5885,0.0335220806028602,99.0213,0.472909449921769
4021,0.4,4.9301,0.0349157247402174,29.6113,0.575754568758786
4023,0.452,3.7204,0.00235017626321974,4.255,0.403213267685929
4025,0.45,4.3965,0.00659135958732357,20.9365,0.62053415280068
4027,0.43,3.8854,0.0212664631210215,18.8983,0.592223009077448
5001,0.46,3.6341,0.243384059840083,1.9385,0.546755311461194
5003,0.456,3.3007,0.263911895062005,2.2337,0.538252976541318
5005,0.425,3.4534,0.00236326806212019,4.1468,0.604480452395193
5007,0.438,5.0377,0.013899805174081,20.9931,0.687497208201188
5009,0.444,3.6839,0.00387991524724141,3.6341,0.672975960210003
5011,0.47,2.6207,0.286621542575416,1.1967,0.519449715370019
5013,0.414,3.2148,0.223618554795786,0.5411,0.585601404741001
5015,0.456,3.2978,0.00347717872698657,2.7321,0.593417138470396
5017,0.51,2.0543,0.538317452561283,1.2279,0.377768033326025
5019,0.467,3.1409,0.219778822931232,2.3601,0.450300710770913
5021,0.476,2.9282,0.00168276721720162,1.6045,0.452964557800596
5023,0.444,3.6405,0.00684010754388739,2.5292,0.606733712286839
5025,0.453,3.5063,0.141782407407407,0.864,0.577011494252874
5027,0.477,3.5258,0.36596410340853,2.4292,0.579465827155479
5029,0.482,3.3554,0.121295892138319,2.0619,0.498131074009469
5031,0.463,3.9431,0.110435752235608,9.1474,0.53347280334728
5033,0.429,3.8942,0.0138236295539666,5.874,0.659635429531196
5035,0.473,3.2323,0.479779306116975,5.2199,0.45409868291724
5037,0.44,3.6036,0.242593479070262,1.8801,0.549644381223329
5039,0.487,2.8233,0.42391039688337,0.8214,0.504154302670623
5041,0.476,2.7072,0.470626774404892,1.3737,0.385180384532296
5043,0.463,3.2061,0.280656719610674,1.8699,0.523216850167544
5045,0.452,4.46,0.103830838151396,10.4468,0.592949866328584
5047,0.444,3.0991,0.0025503132449964,1.8037,0.576731990063483
5049,0.418,3.0771,0,1.17,0.507778035755746
5051,0.471,3.6454,0.0804694396842707,9.6285,0.543725568808259
5053,0.372,5.1238,0.0402416780665755,1.7544,0.622594018359491
5055,0.406,3.8012,0.00915650659368002,4.019,0.520999927959081
5057,0.438,3.5518,0.290941370052828,2.3094,0.482154882154882
5059,0.411,3.6095,0.102590050915531,3.1621,0.496790864382762
5061,0.49,3.318,0.209499754437662,1.4253,0.555261550987177
5063,0.446,3.4798,0.0259996517903778,3.4462,0.573907654167958
5065,0.416,3.2269,0.0166590249121198,1.3086,0.519435276861019
5067,0.441,2.868,0.193684704777556,1.7038,0.423531315746885
5069,0.458,3.5265,0.518657933699716,7.9698,0.338517383775143
5071,0.421,3.0953,0.015869140625,2.4576,0.541629928202544
5073,0.509,2.6491,0.376928062216461,0.7715,0.502837326607818
5075,0.425,2.9119,0.00260170293282876,1.6912,0.450328094002747
5077,0.48,2.6283,0.569784706755754,1.0776,0.368148148148148
5079,0.485,3.4876,0.322620519159456,1.3753,0.470756743852948
5081,0.429,3.2884,0.217552820989088,1.2921,0.4875
5083,0.444,3.5716,0.0104212860310421,2.255,0.596274024289589
5085,0.393,5.0295,0.0682864530776993,6.3424,0.654486233396102
5087,0.436,3.6667,0.00284274454063833,1.5478,0.611242696984052
5089,0.446,3.1772,0,1.6581,0.604747162022704
5091,0.441,3.909,0.236485071327174,4.2971,0.576749589939858
5093,0.465,3.294,0.337444952755569,4.6778,0.445142898910898
5095,0.451,2.9607,0.390890076690681,0.8606,0.43543956043956
5097,0.484,3.6095,0,0.9064,0.60230179028133
5099,0.497,3.2969,0.275954525954526,0.9324,0.506373117033604
5101,0.43,2.8166,0.00372999639032607,0.8311,0.640978311029072
5103,0.467,3.0167,0.398178044280443,2.6016,0.504932650350977
5105,0.381,4.4921,0.0248688556440645,1.0294,0.553660754888586
5107,0.459,2.6336,0.618625579492773,2.2002,0.359450171821306
5109,0.455,3.3024,0.0387438446529778,1.0763,0.600597907324365
5111,0.438,3.1894,0.0734365574100141,2.4865,0.462158647594278
5113,0.412,3.3274,0.00148957298907646,2.014,0.670940170940171
5115,0.436,3.8511,0.0337838983769483,5.8963,0.654393385887329
5117,0.412,3.2176,0.154968094804011,0.8776,0.563924402445803
5119,0.483,4.437,0.338218141340761,37.5518,0.442669134559114
5121,0.468,2.8427,0.0101893897441577,1.8058,0.478116007875208
5123,0.467,2.7016,0.505734244835444,2.6769,0.394589858723031
5125,0.383,5.1082,0.0412947368421053,9.5,0.633430262218141
5127,0.425,3.3969,0,1.117,0.625651203175391
5129,0.443,2.7071,0,0.8002,0.652074319165182
5131,0.462,3.9131,0.059938182567484,12.1325,0.620864850086576
5133,0.434,3.409,0.0374788084281908,1.6516,0.548929663608563
5135,0.428,2.9589,0.00587936005427102,1.7689,0.55151024811219
5137,0.454,2.7167,0,1.192,0.579320370706887
5139,0.468,3.5732,0.329772690409435,4.3157,0.595246218582964
5141,0.423,3.0531,0.0101761013954055,1.6411,0.526546793147388
5143,0.447,4.3317,0.031879515704437,19.3353,0.560839402853592
5145,0.454,3.8417,0.0433516617459845,7.3838,0.646401277517965
5147,0.538,2.788,0.300638270157614,0.7677,0.338553815394868
5149,0.382,3.6398,0.0129609346476816,2.1912,0.554377461375341
6001,0.454,6.8863,0.128543437456034,145.7095,0.247576952488
6003,0.453,5.4605,0,0.1153,0.454678362573099
6005,0.396,5.7347,0.0221088882462736,3.8039,0.627860994607549
6007,0.455,4.2002,0.0160519830944809,21.7917,0.548714583494171
6009,0.406,5.7676,0.0139855632895076,4.6548,0.61669716603195
6011,0.423,4.715,0.0114756440169516,2.1001,0.679434092477571
6013,0.454,7.7838,0.0917808799187846,101.5571,0.370840625497193
6015,0.448,3.8408,0.0343555292561523,2.8729,0.578377158334274
6017,0.423,7.0765,0.00441056945225956,17.5941,0.616409487069581
6019,0.456,4.623,0.0513511086163346,89.075,0.583235943069127
6021,0.431,4.0973,0.0069197949159227,2.7891,0.678479103834554
6023,0.48,3.9124,0.0107516879452416,12.9003,0.40175267090287
6025,0.467,3.7595,0.0361360710848945,16.0034,0.454520580072705
6027,0.419,4.4952,0.00206445693313453,1.7438,0.601451187335092
6029,0.453,4.6216,0.0571109913144581,78.0953,0.674849174729653
6031,0.413,4.6595,0.0774117903691989,14.6696,0.657174065694
6033,0.43,4.1182,0.0235190561492371,6.4756,0.458184057321988
6035,0.407,4.8653,0.101748576739863,3.4428,0.72001953125
6037,0.491,5.4828,0.0881446088237503,978.5295,0.363705070844785
6039,0.441,4.6083,0.0407544511512908,14.4794,0.648864242927466
6041,0.494,8.7728,0.031733485738374,24.6711,0.261182770989239
6043,0.395,4.7808,0.00559753708368318,1.7865,0.616003112436779
6045,0.463,4.3404,0.00711379751249564,8.603,0.349396886591314
6047,0.449,4.3848,0.0379218527463001,24.2235,0.57222508640278
6049,0.445,3.4007,0.0192097795241214,0.9162,0.740089197224975
6051,0.439,5.197,0.0103675048355899,1.2925,0.5
6053,0.441,5.9693,0.0332780140372714,40.4922,0.393272930060027
6055,0.462,6.8416,0.0190356578121099,13.2173,0.395551459808151
6057,0.428,5.8186,0.00530583229448915,9.7063,0.547626326593003
6059,0.454,7.3738,0.0171376876954049,297.6831,0.602521197370336
6061,0.421,7.355,0.0149491506027543,33.2059,0.63064816886701
6063,0.42,4.4727,0.0105109489051095,2.055,0.630045265937382
6065,0.438,5.8155,0.0613660828638553,203.6304,0.583513315741624
6067,0.427,5.6799,0.100623362084319,137.5605,0.494016596889091
6069,0.413,6.8567,0.0132415254237288,5.4752,0.459175303855044
